2026-02-14 21:12:40.982 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:12:41.045 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:12:41.109 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:12:41.195 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:12:41.254 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:12:41.352 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:12:41.413 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:12:41.473 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:12:41.527 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:11.806 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:14.484 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:14.549 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:14.611 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:14.731 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:14.793 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:14.860 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:14.936 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:15.012 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:15.070 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:15.133 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:15.229 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:15.291 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:15.367 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:15.422 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:15.532 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:15.596 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:15.695 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
